Knn, Dst, Nb, Svm, Mlp
0.661458, 0.651042, 0.604167, 0.598958, 0.604167
0.734375, 0.661458, 0.687500, 0.723958, 0.723958
0.692708, 0.750000, 0.656250, 0.671875, 0.671875
0.729167, 0.692708, 0.703125, 0.718750, 0.666667
0.723958, 0.682292, 0.625000, 0.640625, 0.671875
0.697917, 0.729167, 0.630208, 0.635417, 0.677083
0.713542, 0.656250, 0.598958, 0.625000, 0.671875
0.682292, 0.666667, 0.619792, 0.645833, 0.640625
0.734375, 0.661458, 0.625000, 0.651042, 0.619792
0.723958, 0.671875, 0.692708, 0.692708, 0.677083
0.709375, 0.682292, 0.644271, 0.660417, 0.662500
